GeneID	GeneSymbol	
51727	CMPK1	
129607	CMPK2	
9162	DGKI	
1607	DGKB	
8525	DGKZ	
160851	DGKH	
1608	DGKG	
8527	DGKD	
1606	DGKA	
8526	DGKE	
1609	DGKQ	
1610	DAO	
2745	GLRX	
51022	GLRX2	
8528	DDO	
1632	ECI1	
10455	ECI2	
1633	DCK	
1638	DCT	
6319	SCD	
9415	FADS2	
3992	FADS1	
8694	DGAT1	
84649	DGAT2	
1716	DGUOK	
6515	SLC2A3	
6513	SLC2A1	
6517	SLC2A4	
1718	DHCR24	
1581	CYP7A1	
1717	DHCR7	
8560	DEGS1	
123099	DEGS2	
11309	SLCO2B1	
6783	SULT1E1	
1723	DHODH	
1807	DPYS	
1809	DPYSL3	
1808	DPYSL2	
23539	SLC16A8	
2224	FDPS	
29958	DMGDH	
60386	SLC25A19	
84920	ALG10	
79087	ALG12	
26002	MOXD1	
1621	DBH	
7299	TYR	
6530	SLC6A2	
6531	SLC6A3	
6581	SLC22A3	
669	BPGM	
5223	PGAM1	
5224	PGAM2	
4597	MVD	
51071	DERA	
1806	DPYD	
7083	TK1	
7084	TK2	
1854	DUT	
3704	ITPA	
10682	EBP	
1892	ECHS1	
549	AUH	
1891	ECH1	
1962	EHHADH	
11001	SLC27A2	
28231	SLCO4A1	
53919	SLCO1C1	
10257	ABCC4	
28232	SLCO3A1	
2109	ETFB	
2108	ETFA	
2110	ETFDH	
55500	ETNK1	
55224	ETNK2	
8790	FPGT	
51086	TNNI3K	
2181	ACSL3	
2182	ACSL4	
2180	ACSL1	
51703	ACSL5	
81616	ACSBG2	
23305	ACSL6	
116285	ACSM1	
5167	ENPP1	
5169	ENPP3	
6785	ELOVL4	
79071	ELOVL6	
60481	ELOVL5	
54898	ELOVL2	
1579	CYP4A11	
2194	FASN	
376497	SLC27A1	
10999	SLC27A4	
11000	SLC27A3	
226	ALDOA	
229	ALDOB	
230	ALDOC	
2203	FBP1	
5210	PFKFB4	
5207	PFKFB1	
5209	PFKFB3	
5208	PFKFB2	
8789	FBP2	
2235	FECH	
10840	ALDH1L1	
79901	CYBRD1	
197258	FCSK	
125061	AFMID	
1719	DHFR	
2356	FPGS	
29988	SLC2A8	
6514	SLC2A2	
155184	SLC2A7	
6518	SLC2A5	
66035	SLC2A11	
160428	ALDH1L2	
25902	MTHFD1L	
4522	MTHFD1	
2519	FUCA2	
2517	FUCA1	
2184	FAH	
2271	FH	
2523	FUT1	
2525	FUT3	
10690	FUT9	
8703	B4GALT3	
8704	B4GALT2	
2683	B4GALT1	
9334	B4GALT5	
2820	GPD2	
5832	ALDH18A1	
9563	H6PD	
2539	G6PD	
2542	SLC37A4	
2593	GAMT	
9514	GAL3ST1	
5476	CTSA	
2720	GLB1	
2588	GALNS	
4758	NEU1	
2581	GALC	
2583	B4GALNT1	
55790	CSGALNACT1	
55454	CSGALNACT2	
79586	CHPF	
22856	CHSY1	
337876	CHSY3	
26290	GALNT8	
79695	GALNT12	
2589	GALNT1	
50614	GALNT9	
8693	GALNT4	
55568	GALNT10	
114805	GALNT13	
11226	GALNT6	
117248	GALNT15	
11227	GALNT5	
2590	GALNT2	
51809	GALNT7	
79623	GALNT14	
63917	GALNT11	
2591	GALNT3	
81031	SLC2A10	
126792	B3GALT6	
11285	B4GALT7	
8972	MGAM	
2618	GART	
175	AGA	
2629	GBA	
26301	GBGT1	
4329	ALDH6A1	
7915	ALDH5A1	
275	AMT	
2731	GLDC	
2653	GCSH	
2651	GCNT2	
55343	SLC35C1	
7264	GFUS	
8836	GGH	
79017	GGCT	
8908	GYG2	
2998	GYS2	
2992	GYG1	
2997	GYS1	
2687	GGT5	
6472	SHMT2	
6470	SHMT1	
2717	GLA	
2632	GBE1	
2990	GUSB	
8372	HYAL3	
26035	GLCE	
54480	CHPF2	
2131	EXT1	
2132	EXT2	
27087	B3GAT1	
135152	B3GAT2	
26229	B3GAT3	
4669	NAGLU	
64579	NDST4	
3340	NDST1	
9348	NDST3	
8509	NDST2	
2137	EXTL3	
2135	EXTL2	
2134	EXTL1	
56606	SLC2A9	
154091	SLC2A12	
11182	SLC2A6	
144195	SLC2A14	
6523	SLC5A1	
178	AGL	
5834	PYGB	
5837	PYGM	
5836	PYGL	
2729	GCLC	
2730	GCLM	
2747	GLUD2	
2746	GLUD1	
10841	FTCD	
2744	GLS	
27165	GLS2	
83733	SLC25A18	
79751	SLC25A22	
2639	GCDH	
57084	SLC17A6	
246213	SLC17A8	
57030	SLC17A7	
54363	HAO1	
51179	HAO2	
2628	GATM	
9380	GRHPR	
2710	GK	
2712	GK2	
2713	GK3P	
3029	HAGH	
6536	SLC6A9	
5226	PGD	
27232	GNMT	
57678	GPAM	
284098	PIGW	
80055	PGAP1	
93183	PIGM	
54965	PIGX	
2936	GSR	
7001	PRDX2	
5052	PRDX1	
2877	GPX2	
2876	GPX1	
2879	GPX4	
2878	GPX3	
257202	GPX6	
2882	GPX7	
10935	PRDX3	
2937	GSS	
2679	GGT3P	
2678	GGT1	
2977	GUCY1A2	
2983	GUCY1B1	
4882	NPR2	
2982	GUCY1A1	
2974	GUCY1B2	
2986	GUCY2F	
2984	GUCY2C	
4881	NPR1	
3000	GUCY2D	
9615	GDA	
763	CA5A	
11238	CA5B	
23556	PIGN	
55650	PIGV	
53905	DUOX1	
50506	DUOX2	
343	AQP8	
84720	PIGO	
5281	PIGF	
54872	PIGG	
80235	PIGZ	
10026	PIGK	
8733	GPAA1	
128869	PIGU	
94005	PIGS	
51604	PIGT	
3028	HSD17B10	
3033	HADH	
3038	HAS3	
3036	HAS1	
3037	HAS2	
27235	COQ2	
6522	SLC4A2	
83697	SLC4A9	
6521	SLC4A1	
6508	SLC4A3	
2645	GCK	
3099	HK2	
3098	HK1	
80201	HKDC1	
3101	HK3	
3081	HGD	
11112	HIBADH	
3067	HDC	
495	ATP4A	
496	ATP4B	
8942	KYNU	
3157	HMGCS1	
3158	HMGCS2	
3155	HMGCL	
54511	HMGCLL1	
3162	HMOX1	
3163	HMOX2	
26062	HYAL6P	
197257	LDHD	
6448	SGSH	
3290	HSD11B1	
3291	HSD11B2	
3292	HSD17B1	
7923	HSD17B8	
3294	HSD17B2	
51478	HSD17B7	
3283	HSD3B1	
3284	HSD3B2	
80270	HSD3B7	
57026	PDXP	
3421	IDH3G	
3420	IDH3B	
3419	IDH3A	
3417	IDH1	
3418	IDH2	
7173	TPO	
3425	IDUA	
587	BCAT2	
8501	SLC43A1	
55586	MIOX	
114134	SLC2A13	
6526	SLC5A3	
3422	IDI1	
91734	IDI2	
160728	SLC5A8	
8802	SUCLG1	
8801	SUCLG2	
8803	SUCLA2	
6560	SLC12A4	
10723	SLC12A7	
9990	SLC12A6	
57468	SLC12A5	
3795	KHK	
84679	SLC9A7	
23315	SLC9A8	
8564	KMO	
3938	LCT	
53	ACP2	
3931	LCAT	
387775	SLC22A10	
124637	CYB5D1	
366	AQP9	
11283	CYP4F8	
4047	LSS	
5321	PLA2G4A	
1178	CLC	
29124	LGALS13	
51268	PIPOX	
4023	LPL	
3990	LIPC	
1056	CEL	
80339	PNPLA3	
11343	MGLL	
50487	PLA2G3	
9227	LRAT	
6309	SC5D	
4048	LTA4H	
4056	LTC4S	
4259	MGST3	
4258	MGST2	
2954	GSTZ1	
2548	GAA	
56922	MCCC1	
64087	MCCC2	
23417	MLYCD	
4357	MPST	
4191	MDH2	
4190	MDH1	
4200	ME2	
4199	ME1	
10873	ME3	
3620	IDO1	
1557	CYP2C19	
1543	CYP1A1	
1545	CYP1B1	
1544	CYP1A2	
4143	MAT1A	
27430	MAT2B	
4144	MAT2A	
4548	MTR	
4598	MVK	
3635	INPP5D	
8867	SYNJ1	
3636	INPPL1	
27124	INPP5J	
3633	INPP5B	
56623	INPP5E	
3632	INPP5A	
3628	INPP1	
3706	ITPKA	
80271	ITPKC	
3707	ITPKB	
51477	ISYNA1	
3631	INPP4A	
8821	INPP4B	
2595	GANC	
84693	MCEE	
4594	MMUT	
116255	MOGAT1	
80168	MOGAT2	
4507	MTAP	
10797	MTHFD2	
56913	C1GALT1	
443	ASPA	
91703	ACY3	
4668	NAGA	
9498	SLC4A8	
57282	SLC4A10	
6528	SLC5A5	
481	ATP1B1	
478	ATP1A3	
477	ATP1A2	
23439	ATP1B4	
483	ATP1B3	
476	ATP1A1	
480	ATP1A4	
482	ATP1B2	
6548	SLC9A1	
6550	SLC9A3	
6549	SLC9A2	
84735	CNDP1	
55748	CNDP2	
6559	SLC12A3	
123041	SLC24A4	
57419	SLC24A3	
9187	SLC24A1	
25769	SLC24A2	
124583	CANT1	
79077	DCTPP1	
9583	ENTPD4	
1841	DTYMK	
4832	NME3	
4831	NME2	
4830	NME1	
10201	NME6	
29922	NME7	
4833	NME4	
57127	RHBG	
6005	RHAG	
6557	SLC12A1	
6558	SLC12A2	
349565	NMNAT3	
64802	NMNAT1	
23057	NMNAT2	
10135	NAMPT	
4837	NNMT	
5409	PNMT	
4846	NOS3	
201288	NOS2P2	
4842	NOS1	
4843	NOS2	
645740	NOS2P1	
4860	PNP	
6580	SLC22A1	
55808	ST6GALNAC1	
30833	NT5C	
5251	PHEX	
56953	NT5M	
4907	NT5E	
6476	SI	
5009	OTC	
5019	OXCT1	
64064	OXCT2	
1629	DBT	
594	BCKDHB	
593	BCKDHA	
26873	OPLAH	
4942	OAT	
7372	UMPS	
1836	SLC26A2	
10861	SLC26A1	
1811	SLC26A3	
1583	CYP11A1	
1584	CYP11B1	
1585	CYP11B2	
1586	CYP17A1	
1588	CYP19A1	
1576	CYP3A4	
1589	CYP21A2	
1593	CYP27A1	
1553	CYP2A13	
1548	CYP2A6	
1562	CYP2C18	
1558	CYP2C8	
1559	CYP2C9	
1565	CYP2D6	
1572	CYP2F1	
51302	CYP39A1	
64816	CYP3A43	
1577	CYP3A5	
1551	CYP3A7	
10858	CYP46A1	
66002	CYP4F12	
4051	CYP4F3	
8529	CYP4F2	
9420	CYP7B1	
1582	CYP8B1	
5831	PYCR1	
5051	PAFAH2	
5049	PAFAH1B2	
5050	PAFAH1B3	
5048	PAFAH1B1	
7941	PLA2G7	
347734	SLC35B2	
57194	ATP10A	
5338	PLD2	
5337	PLD1	
130013	ACMSD	
5091	PC	
5244	ABCB4	
5139	PDE3A	
5142	PDE4B	
5151	PDE8A	
5153	PDE1B	
5150	PDE7A	
5143	PDE4C	
5137	PDE1C	
5144	PDE4D	
5136	PDE1A	
5140	PDE3B	
10846	PDE10A	
5141	PDE4A	
5138	PDE2A	
27115	PDE7B	
50940	PDE11A	
8622	PDE8B	
5146	PDE6C	
51527	GSKIP	
5152	PDE9A	
51521	-	
8654	PDE5A	
51520	LARS1	
5145	PDE6A	
5158	PDE6B	
5149	PDE6H	
51522	TMEM14C	
51525	-	
51529	ANAPC11	
51526	OSER1	
51524	TMEM138	
51523	CXXC5	
51528	JKAMP	
5147	PDE6D	
5148	PDE6G	
5161	PDHA2	
5162	PDHB	
1737	DLAT	
5160	PDHA1	
55163	PNPO	
10396	ATP8A1	
5105	PCK1	
5106	PCK2	
8310	ACOX3	
5833	PCYT2	
10400	PEMT	
26227	PHGDH	
5730	PTGDS	
27306	HPGDS	
80142	PTGES2	
9536	PTGES	
5740	PTGIS	
114971	PTPMT1	
9489	PGS1	
5743	PTGS2	
5742	PTGS1	
6898	TAT	
5053	PAH	
5264	PHYH	
5728	PTEN	
8871	SYNJ2	
8394	PIP5K1A	
23396	PIP5K1C	
8395	PIP5K1B	
55361	PI4K2A	
5297	PI4KA	
5298	PI4KB	
5291	PIK3CB	
5295	PIK3R1	
5293	PIK3CD	
8503	PIK3R3	
5296	PIK3R2	
5290	PIK3CA	
10870	HCST	
5294	PIK3CG	
23533	PIK3R5	
4952	OCRL	
23236	PLCB1	
5336	PLCG2	
9651	PLCH2	
113026	PLCD3	
89869	PLCZ1	
84812	PLCD4	
5330	PLCB2	
5335	PLCG1	
51196	PLCE1	
5333	PLCD1	
5332	PLCB4	
5331	PLCB3	
5334	PLCL1	
257068	PLCXD2	
23007	PLCH1	
5287	PIK3C2B	
5286	PIK3C2A	
5288	PIK3C2G	
200576	PIKFYVE	
8396	PIP4K2B	
79837	PIP4K2C	
5305	PIP4K2A	
5289	PIK3C3	
5279	PIGC	
51227	PIGP	
5283	PIGH	
5277	PIGA	
9091	PIGQ	
8818	DPM2	
8398	PLA2G6	
5320	PLA2G2A	
81579	PLA2G12A	
5322	PLA2G5	
64600	PLA2G2F	
100137049	PLA2G4B	
123745	PLA2G4E	
5319	PLA2G1B	
26279	PLA2G2D	
8399	PLA2G10	
30814	PLA2G2E	
10654	PMVK	
117283	IP6K3	
9807	IP6K1	
51447	IP6K2	
8876	VNN1	
8875	VNN2	
55350	VNN3P	
27068	PPA2	
8612	PLPP2	
8611	PLPP1	
8613	PLPP3	
5498	PPOX	
8288	EPX	
9588	PRDX6	
4353	MPO	
5625	PRODH	
6578	SLCO2A1	
23761	PISD	
9791	PTDSS1	
81490	PTDSS2	
10965	ACOT2	
10005	ACOT8	
122970	ACOT4	
5805	PTS	
6303	SAT1	
112483	SAT2	
8566	PDXK	
7378	UPP1	
151531	UPP2	
2944	GSTM1	
64080	RBKS	
5959	RDH5	
8608	RDH16	
157506	RDH10	
112724	RDH13	
145226	RDH12	
51109	RDH11	
195814	SDR16C5	
57665	RDH14	
50700	RDH8	
8228	PNPLA4	
113278	SLC52A3	
54981	NMRK1	
6484	ST3GAL4	
6482	ST3GAL1	
6483	ST3GAL2	
10090	UST	
9653	HS2ST1	
3423	IDS	
9957	HS3ST1	
9951	HS3ST4	
222537	HS3ST5	
9956	HS3ST2	
9955	HS3ST3A1	
9953	HS3ST3B1	
64711	HS3ST6	
113189	CHST14	
50515	CHST11	
166012	CHST13	
55501	CHST12	
411	ARSB	
23563	CHST5	
9435	CHST2	
10164	CHST4	
4166	CHST6	
8534	CHST1	
9469	CHST3	
56548	CHST7	
266722	HS6ST3	
9394	HS6ST1	
90161	HS6ST2	
2799	GNS	
10157	AASS	
118881	COMTD1	
3176	HNMT	
1757	SARDH	
81537	SGPP1	
6652	SORD	
6342	SCP2	
9056	SLC7A7	
10558	SPTLC1	
9517	SPTLC2	
55304	SPTLC3	
2098	ESD	
8879	SGPL1	
8869	ST3GAL5	
56848	SPHK2	
8877	SPHK1	
130752	MDH1B	
55512	SMPD3	
339221	ENPP7	
55627	SMPD4	
6609	SMPD1	
6610	SMPD2	
259230	SGMS1	
115111	SLC26A7	
115019	SLC26A9	
116369	SLC26A8	
284129	SLC26A11	
26266	SLC13A4	
6646	SOAT1	
6649	SOD3	
6648	SOD2	
6647	SOD1	
6697	SPR	
6611	SMS	
6723	SRM	
6713	SQLE	
2222	FDFT1	
6715	SRD5A1	
6716	SRD5A2	
15	AANAT	
6532	SLC6A4	
6487	ST3GAL3	
64871	-	
64870	-	
10402	ST3GAL6	
10610	ST6GALNAC2	
256435	ST6GALNAC3	
30815	ST6GALNAC6	
81849	ST6GALNAC5	
6489	ST8SIA1	
29906	ST8SIA5	
412	STS	
6389	SDHA	
6392	SDHD	
6391	SDHC	
6390	SDHB	
6821	SUOX	
6533	SLC6A6	
5092	PCBD1	
23530	NNT	
79178	THTPA	
6567	SLC16A2	
1890	TYMP	
55217	TMLHE	
7296	TXNRD1	
80162	PGGHG	
11181	TREH	
7166	TPH1	
121278	TPH2	
6999	TDO2	
169355	IDO2	
6561	SLC13A1	
6916	TBXAS1	
7054	TH	
7306	TYRP1	
10020	GNE	
29880	ALG5	
7355	SLC35A2	
7358	UGDH	
23169	SLC35D1	
80146	UXS1	
5168	ENPP2	
84912	SLC35B4	
3906	LALBA	
7357	UGCG	
11046	SLC35D2	
54576	UGT1A8	
54575	UGT1A10	
54578	UGT1A6	
54579	UGT1A5	
54600	UGT1A9	
54658	UGT1A1	
54659	UGT1A3	
54577	UGT1A7	
54657	UGT1A4	
7364	UGT2B7	
54490	UGT2B28	
7367	UGT2B17	
10720	UGT2B11	
7363	UGT2B4	
7365	UGT2B10	
7366	UGT2B15	
54963	UCKL1	
7498	XDH	
9942	XYLB	
64131	XYLT1	
64132	XYLT2	
51181	DCXR	
64077	LHPP	
5464	PPA1	
10724	OGA	
1356	CP	
2512	FTL	
2495	FTH1	
94033	FTMT	
1727	CYB5R3	
51706	CYB5R1	
51700	CYB5R2	
10587	TXNRD2	
80347	COASY	
22978	NT5C2	
84618	NT5C1A	
51251	NT5C3A	
93034	NT5C1B	
100526794	NT5C1B-RDH14	
3251	HPRT1	
353	APRT	
56954	NIT2	
5313	PKLR	
92086	GGTLC1	
728441	GGT2P	
102724197	LOC102724197	
2686	GGT7	
124975	GGT6	
91227	GGTLC2	
5211	PFKL	
1491	CTH	
2819	GPD1	
29926	GMPPA	
29925	GMPPB	
875	CBS	
102724560	LOC102724560	
249	ALPL	
22934	RPIA	
51292	GMPR2	
2766	GMPR	
57571	CARNS1	
8833	GMPS	
11332	ACOT7	
5538	PPT1	
641371	ACOT1	
9374	PPT2	
55825	PECR	
51102	MECR	
37	ACADVL	
33	ACADL	
132158	GLYCTK	
641649	TMEM91	
93100	NAPRT	
23475	QPRT	
50484	RRM2B	
6240	RRM1	
6241	RRM2	
3156	HMGCR	
79966	SCD5	
10588	MTHFS	
84890	ADO	
79646	PANK3	
80025	PANK2	
53354	PANK1	
55229	PANK4	
83594	NUDT12	
7263	TST	
26275	HIBCH	
29920	PYCR2	
7389	UROD	
1595	CYP51A1	
130367	SGPP2	
10478	SLC25A17	
23443	SLC35A3	
64240	ABCG5	
64241	ABCG8	
284111	SLC13A5	
8435	SOAT2	
3988	LIPA	
771	CA12	
760	CA2	
768	CA9	
23632	CA14	
765	CA6	
759	CA1	
762	CA4	
766	CA7	
767	CA8	
377677	CA13	
10057	ABCC5	
6556	SLC11A1	
6568	SLC17A1	
7779	SLC30A1	
54020	SLC37A1	
215	ABCD1	
5825	ABCD3	
641372	ACOT6	
9045	RPL14	
4017	LOXL2	
84105	PCBD2	
25830	SULT4A1	
84569	LYZL1	
4025	LPO	
54995	OXSM	
93492	TPTE2	
1267	CNP	
10249	GLYAT	
1580	CYP4B1	
1555	CYP2B6	
1549	CYP2A7	
1573	CYP2J2	
199974	CYP4Z1	
260293	CYP4X1	
29785	CYP2S1	
57834	CYP4F11	
1215	CMA1	
1357	CPA1	
1358	CPA2	
57094	CPA6	
93979	CPA5	
7177	TPSAB1	
64499	TPSB2	
23430	TPSD1	
1636	ACE	
9365	KL	
9331	B4GALT6	
7368	UGT8	
5315	PKM	
26063	DECR2	
1666	DECR1	
874	CBR3	
10901	DHRS4	
126410	CYP4F22	
2053	EPHX2	
8897	MTMR3	
8898	MTMR2	
2880	GPX5	
9152	SLC6A5	
9497	SLC4A7	
115584	SLC5A11	
6574	SLC20A1	
6575	SLC20A2	
142680	SLC34A3	
6534	SLC6A7	
3293	HSD17B3	
1622	DBI	
225	ABCD2	
28965	SLC27A6	
23205	ACSBG1	
26061	HACL1	
54716	SLC6A20	
6564	SLC15A1	
113235	SLC46A1	
1200	TPP1	
2168	FABP1	
51056	LAP3	
9390	SLC22A13	
5184	PEPD	
4891	SLC11A2	
30061	SLC40A1	
248	ALPI	
4524	MTHFR	
65263	PYCR3	
25796	PGLS	
28982	FLVCR1	
6120	RPE	
10864	SLC22A7	
9356	SLC22A6	
9376	SLC22A8	
348932	SLC6A18	
120103	SLC36A4	
1080	CFTR	
85320	ABCC11	
222962	SLC29A4	
10351	ABCA8	
9429	ABCG2	
55867	SLC22A11	
360	AQP3	
364	AQP7	
89872	AQP10	
21	ABCA3	
24	ABCA4	
125206	SLC5A10	
200010	SLC5A9	
6524	SLC5A2	
159963	SLC5A12	
79581	SLC52A2	
55065	SLC52A1	
3764	KCNJ8	
6833	ABCC8	
10060	ABCC9	
3767	KCNJ11	
5950	RBP4	
64220	STRA6	
5947	RBP1	
5948	RBP2	
949	SCARB1	
29881	NPC1L1	
2350	FOLR2	
3248	HPGD	
166929	SGMS2	
56261	GPCPD1	
3658	IREB2	
122481	AK7	
203	AK1	
159	ADSS2	
122622	ADSS1	
11212	PLPBP	
383	ARG1	
1371	CPOX	
1503	CTPS1	
56474	CTPS2	
